State,TotalPop,Hate Crimes Reported,"Hate Crimes/100,000",Hispanic%,White%,Black%,Native%,Asian%,Pacific%,Poverty%,ChildPoverty%,Professional%,Service%,Office%,Construction%,Production%,Drive%,Carpool%,Transit%,Walk%,OtherTransp%,WorkAtHome%,MeanCommute,Employed,PrivateWork%,PublicWork%,SelfEmployed%,Unemployment%
Alabama,4830620,9,0.186311488,4,66,26,0,1,0,19,27,33,17,24,10,16,85,9,0,1,1,3,24,97538,78,16,5,9
Arizona,6641928,264,3.9747495,30,56,4,4,3,0,18,26,35,20,26,9,10,77,11,2,2,3,6,25,1183190,79,15,6,9
Arkansas,2958208,7,0.236629743,7,74,15,1,1,0,19,28,32,17,24,11,17,82,11,0,2,1,3,22,57259,77,16,6,8
California,38421464,1094,2.847366774,38,39,6,0,14,0,16,22,37,19,24,9,11,74,11,5,3,2,5,28,1742999,78,14,8,10
Colorado,5278906,106,2.007991807,21,69,4,1,3,0,13,17,40,18,24,10,9,75,10,3,3,2,7,25,207994,79,14,6,7
Connecticut,3593222,111,3.089149515,15,69,10,0,4,0,11,14,42,18,24,7,10,78,8,5,3,1,4,25,356363,80,13,6,9
Florida,19645772,145,0.738072294,24,56,15,0,3,0,17,24,34,21,27,9,9,80,10,2,1,2,5,26,471781,81,13,6,10
Georgia,10006693,27,0.26981941,9,55,31,0,4,0,18,26,35,17,25,9,14,80,10,2,2,2,5,27,164839,79,16,6,10
Idaho,1616547,53,3.278593199,12,83,1,1,1,0,15,19,33,18,24,12,13,78,10,1,3,2,6,20,78231,76,16,8,7
Illinois,12873761,82,0.6369545,16,62,14,0,5,0,14,21,37,17,24,7,14,73,9,9,3,2,4,28,1107082,83,12,5,9
Indiana,6568645,55,0.837311196,6,81,9,0,2,0,15,22,32,17,23,9,19,83,9,1,2,1,3,23,125365,84,11,5,8
Iowa,3093526,11,0.355581301,5,87,3,0,2,0,13,16,34,17,23,9,16,81,9,1,3,2,4,19,66767,80,13,7,5
Kansas,2892987,75,2.592476219,11,77,6,1,3,0,14,18,36,17,23,10,14,82,10,0,2,1,4,19,119890,78,16,6,6
Kentucky,4397353,378,8.596080415,3,86,8,0,1,0,19,26,32,17,24,10,17,82,10,1,2,1,3,23,91241,79,15,6,9
Louisiana,4625253,26,0.562131412,5,59,32,1,2,0,20,28,32,19,24,12,12,82,10,1,2,2,2,25,92650,79,16,6,8
Maine,1329100,32,2.407644271,1,94,1,1,1,0,14,19,35,19,24,11,12,78,10,1,4,2,5,24,73543,77,14,9,7
Maryland,5930538,48,0.809370077,9,53,29,0,6,0,10,14,44,17,23,8,8,74,9,9,2,1,4,32,304661,73,22,5,7
Massachusetts,6705586,427,2.407644271,11,74,6,0,6,0,12,15,44,18,23,7,9,72,8,9,5,2,5,29,430878,81,12,6,8
Michigan,9900571,456,4.605794959,5,76,14,0,3,0,17,23,34,18,24,8,16,83,9,1,2,1,4,24,294334,84,11,5,10
Minnesota,5419171,146,2.694139011,5,82,5,1,4,0,11,15,39,17,23,8,13,78,9,3,3,2,5,23,222831,82,12,6,6
Mississippi,2988081,1,0.033466295,3,57,37,0,1,0,23,32,31,18,23,11,17,84,10,0,2,1,2,24,36686,76,19,5,11
Missouri,6045448,105,1.736843986,4,80,11,0,2,0,16,22,35,18,25,9,14,81,9,1,2,1,4,23,165389,81,13,6,8
Montana,1014699,15,1.478270896,3,87,0,6,1,0,15,19,36,19,23,13,10,75,10,1,5,2,6,18,35427,72,18,9,6
Nebraska,1869365,45,2.407234542,10,81,5,1,2,0,13,17,36,17,24,10,13,81,10,1,3,1,4,18,118780,79,14,7,5
Nevada,2798636,5,0.178658461,28,52,8,1,8,1,15,22,28,28,26,9,10,78,11,4,2,2,3,24,706017,82,12,5,10
New Hampshire,1324201,13,0.981724074,3,91,1,0,2,0,9,12,40,16,24,9,11,81,8,1,3,1,6,27,126594,79,14,7,6
New Jersey,8904413,495,5.559041343,19,57,13,0,9,0,11,15,41,17,25,7,10,72,8,11,3,2,4,31,276450,81,14,5,9
New Mexico,2084117,7,0.335873658,47,39,2,8,1,0,21,29,35,21,23,12,9,80,10,1,2,2,5,22,127484,71,23,7,9
New York,19673174,552,2.805851257,18,57,14,0,8,0,16,22,39,21,24,7,10,53,7,28,6,2,4,32,588504,78,16,6,8
North Carolina,9845333,166,1.686078064,9,64,21,1,2,0,17,25,35,18,23,10,14,81,10,1,2,1,5,24,159178,79,15,6,10
Ohio,11575977,380,3.282660289,3,80,12,0,2,0,16,23,35,18,24,8,16,83,8,2,2,1,4,23,226151,82,13,5,8
Oklahoma,3849733,37,0.961105614,10,67,7,7,2,0,17,23,33,18,24,12,13,82,10,0,2,1,3,21,140764,76,17,6,6
Oregon,3939233,146,3.706305263,12,77,2,1,4,0,17,22,36,19,23,9,12,72,10,4,4,3,6,23,176255,78,14,8,9
Pennsylvania,12779559,78,0.6103497,6,78,11,0,3,0,13,19,36,18,24,8,14,76,9,6,4,1,4,26,267271,84,11,5,8
Rhode Island,1053661,11,1.043979041,14,75,5,0,3,0,14,20,37,20,24,7,11,80,9,3,4,2,3,24,205949,82,13,5,9
South Carolina,4777576,87,1.821007138,5,64,27,0,1,0,18,26,33,18,25,9,15,83,9,1,2,2,3,24,102972,79,16,5,10
Tennessee,6499615,136,2.092431629,5,75,17,0,2,0,18,26,33,17,25,9,16,84,9,1,1,1,4,25,146187,79,14,7,9
Texas,26538497,190,0.715941072,38,44,12,0,4,0,17,24,35,18,24,11,12,80,11,2,2,2,4,25,686918,79,14,7,7
Utah,2903379,78,2.686524908,13,79,1,1,2,1,12,15,37,16,26,9,13,76,12,2,3,2,5,22,277950,80,15,5,6
Virginia,8256630,193,2.337515427,9,63,19,0,6,0,12,16,42,17,23,9,10,78,9,4,2,2,4,28,156097,74,20,5,7
Washington,6985464,510,7.300875074,12,71,3,1,8,1,13,17,38,18,23,10,12,73,10,6,3,2,5,26,448085,77,16,6,8
West Virginia,1851420,31,1.674390468,1,93,3,0,1,0,18,25,32,19,24,12,13,82,10,1,3,1,3,26,28256,76,19,4,8
Wisconsin,5742117,46,0.801098271,6,82,6,1,2,0,13,18,34,17,23,9,17,81,8,2,3,2,4,22,150022,82,12,5,6
