States,Total,Male Supremacy,Anti-Immigrant,KKK,Rad Trad Cath,White Nationalism,Anti-LGBT,Anti-Muslim,Black Nationalists,Christian Identity,General Hate,Hate Music,Holocaust Denial,Neo Confederate,Neo Nazi,Neo Volkisch,Skin Head
Alabama,23,0,1,5,0,2,0,0,6,1,0,0,0,5,3,0,0
Alaska,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
Arizona,22,0,2,0,0,5,4,3,3,0,1,0,0,0,2,1,1
Arkansas,12,0,0,2,0,0,0,1,2,3,1,1,0,1,0,0,1
California,75,0,4,2,1,8,5,11,14,0,6,0,3,0,6,3,10
Colorado,21,0,2,2,0,1,5,3,2,1,0,1,0,0,2,1,1
Connecticut,6,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0
Delaware,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Florida,66,0,1,5,0,4,4,8,21,1,5,0,1,6,5,1,4
Georgia,40,0,1,4,0,4,1,1,16,1,1,1,0,1,5,1,3
Hawaii,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Idaho,12,0,0,1,0,1,0,3,0,1,2,0,1,0,1,0,2
Illinois,34,0,0,1,0,2,5,2,10,2,1,3,0,0,8,0,0
Indiana,31,0,0,3,1,5,1,4,2,0,3,0,0,0,5,2,5
Iowa,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
Kansas,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
Kentucky,11,0,0,2,0,0,0,0,5,1,0,0,0,1,2,0,0
Louisiana,13,0,0,0,0,0,1,1,8,1,0,0,0,0,1,0,1
Maine,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Maryland,19,0,0,3,0,3,0,2,4,0,2,1,1,0,1,0,2
Massachusetts,10,0,0,0,0,0,2,1,4,0,1,0,0,0,2,0,0
Michigan,29,0,1,1,0,5,0,3,7,1,1,1,1,0,6,1,1
Minnesota,12,0,0,0,1,2,0,1,2,0,1,1,0,0,1,2,1
Mississippi,15,0,0,7,0,0,1,0,2,0,0,0,0,3,1,0,0
Missouri,18,0,0,1,0,2,1,2,6,1,1,0,0,0,3,0,1
Montana,8,0,0,0,0,3,0,4,0,0,0,0,0,0,1,0,0
Nebraska,9,0,0,0,0,1,0,1,2,1,0,0,0,0,4,0,0
Nevada,9,0,0,0,0,1,0,1,3,0,1,0,0,0,3,0,0
New Hampshire,9,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,3
New Jersey,17,0,0,0,0,2,0,0,9,0,0,2,0,0,2,0,2
New Mexico,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
New York,48,0,0,2,2,7,2,4,15,0,6,2,1,0,4,0,3
North Carolina,32,0,2,4,0,1,2,2,10,0,1,0,0,2,3,0,5
North Dakota,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ohio,31,0,0,4,1,0,4,4,9,1,0,0,0,0,7,1,0
Oklahoma,10,0,0,0,0,0,0,1,6,1,0,0,0,0,2,0,0
Oregon,18,0,1,1,0,3,0,1,3,0,1,0,0,0,3,1,4
Pennsylvania,36,0,0,4,1,5,1,1,8,0,2,2,1,0,4,1,6
Rhode Island,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
South Carolina,14,0,0,1,0,3,1,0,4,0,0,0,0,2,2,1,0
South Dakota,7,0,0,1,0,0,0,2,0,0,2,0,0,0,2,0,0
Tennessee,37,0,0,6,0,2,0,7,6,1,0,0,0,6,3,3,3
Texas,66,1,1,4,1,6,5,13,20,1,4,1,1,2,4,1,1
Utah,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0
Vermont,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Virginia,37,0,2,3,1,10,1,4,4,0,1,0,0,2,3,2,4
Washington,26,0,1,2,0,5,1,4,5,1,0,0,0,0,2,1,4
Washington DC,25,1,4,0,0,2,3,8,5,0,2,0,0,0,0,0,0
West Virginia,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
Wisconsin,11,0,0,0,0,0,1,1,3,0,1,1,0,0,4,0,0
Wyoming,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,953,,,,,,,,,,,,,,,,
